Date/Time,15 Oct 2024 23.53.23,,,
Application,CtC,,,
,,,,
Unit ID,QuickCollect - 2310610,,,
OVD,NO,,,
,,,,
,,,,
,,,CH1 Units,gE
,,,,
,,,,
,,,CH1 Y-Axis,Linear
,,,,
,,,,
Sensitivity,23.6,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Max Freq / Orders,2000,,,
,,,,
,,,,
,,,,
Detection,TruePkPk,,,
No. of Lines,800,,,
Window Type,Hanning,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Y-axis Units,gE,,,
X-axis Units,Hz,,,
,,,,
,,,,
Sensor Type,Accel (g),,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
RPM,NaN,,,
,,,,
Overall,11.2977324,,,
X-Axis,Y-Axis,,,
0,0.022278879,,,
2.5,0.071930133,,,
5,0.090357833,,,
7.5,0.107004873,,,
10,0.140878707,,,
12.5,0.113050818,,,
15,0.085968316,,,
17.5,0.115038522,,,
20,0.083442271,,,
22.5,0.118599832,,,
25,0.053916544,,,
27.5,0.138352662,,,
30,0.122036912,,,
32.5,0.158312559,,,
35,0.130443245,,,
37.5,0.046131361,,,
40,0.071184747,,,
42.5,0.095244281,,,
45,0.073296681,,,
47.5,0.008075058,,,
50,0.043191209,,,
52.5,0.076485299,,,
55,0.041948892,,,
57.5,0.08331804,,,
60,0.01635717,,,
62.5,0.045593023,,,
65,0.059589792,,,
67.5,0.072675526,,,
70,0.127088994,,,
72.5,0.108247191,,,
75,0.046048537,,,
77.5,0.077354915,,,
80,0.097273394,,,
82.5,0.664556623,,,
85,1.552067637,,,
87.5,0.94734931,,,
90,0.077727616,,,
92.5,0.119096756,,,
95,0.103070877,,,
97.5,0.148498252,,,
100,0.058016188,,,
102.5,0.085554212,,,
105,0.032176003,,,
107.5,0.055407323,,,
110,0.062405709,,,
112.5,0.066629581,,,
115,0.10141445,,,
117.5,0.043191209,,,
120,0.03499192,,,
122.5,0.02381107,,,
125,0.04836753,,,
127.5,0.053626671,,,
130,0.059589792,,,
132.5,0.089032695,,,
135,0.085844085,,,
137.5,0.139015242,,,
140,0.098764174,,,
142.5,0.020125531,,,
145,0.062902637,,,
147.5,0.065097392,,,
150,0.121250108,,,
152.5,0.054661933,,,
155,0.068078957,,,
157.5,0.06170173,,,
160,0.049485616,,,
162.5,0.05428924,,,
165,0.058513116,,,
