Date/Time,15 Oct 2024 23.52.00,,,
Application,CtC,,,
,,,,
Unit ID,QuickCollect - 2310610,,,
OVD,NO,,,
,,,,
,,,,
,,,CH1 Units,mm/s
,,,,
,,,,
,,,CH1 Y-Axis,Linear
,,,,
,,,,
Sensitivity,23.6,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Max Freq / Orders,1000,,,
,,,,
,,,,
,,,,
Detection,RMS,,,
No. of Lines,400,,,
Window Type,Hanning,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Y-axis Units,Velocity (mm/s),,,
X-axis Units,Hz,,,
,,,,
,,,,
Sensor Type,Accel (g),,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
RPM,NaN,,,
,,,,
Overall,1.8080864,,,
X-Axis,Y-Axis,,,
0,0.021801021,,,
2.5,0.034994259,,,
5,0.058136053,,,
7.5,0.057117064,,,
10,0.070699126,,,
12.5,0.224647045,,,
15,0.350090057,,,
17.5,0.288964093,,,
20,0.479153186,,,
22.5,0.518491566,,,
25,0.357772708,,,
27.5,0.438286334,,,
30,0.411873043,,,
32.5,0.088249885,,,
35,0.112048663,,,
37.5,0.031092599,,,
40,0.081559412,,,
42.5,0.117465399,,,
45,0.108173825,,,
47.5,0.235024661,,,
50,0.386773705,,,
52.5,0.339055479,,,
55,0.160102084,,,
57.5,0.04976961,,,
60,0.097528063,,,
62.5,0.150301009,,,
65,0.118149199,,,
67.5,0.063579604,,,
70,0.046404265,,,
72.5,0.03667023,,,
75,0.047972973,,,
77.5,0.096039794,,,
80,0.219981149,,,
82.5,0.122493312,,,
85,0.038815469,,,
87.5,0.017564168,,,
90,0.015298257,,,
92.5,0.015767528,,,
95,0.03258086,,,
97.5,0.054971822,,,
100,0.067534894,,,
102.5,0.036884751,,,
105,0.091910206,,,
107.5,0.143168077,,,
110,0.086694591,,,
112.5,0.068607517,,,
115,0.069331534,,,
117.5,0.450460583,,,
120,0.681489706,,,
122.5,0.388476491,,,
125,0.158989236,,,
127.5,0.208463877,,,
130,0.136678725,,,
132.5,0.018864721,,,
135,0.033438958,,,
137.5,0.017885955,,,
140,0.030207688,,,
142.5,0.039847869,,,
145,0.017081488,,,
147.5,0.003070378,,,
150,0.015579819,,,
152.5,0.002949708,,,
155,0.014668091,,,
157.5,0.038922731,,,
160,0.115293346,,,
162.5,0.086909115,,,
