Date/Time,15 Oct 2024 23.52.00,,,
Application,CtC,,,
,,,,
Unit ID,QuickCollect - 2310610,,,
OVD,NO,,,
,,,,
,,,,
,,,CH1 Units,gE
,,,,
,,,,
,,,CH1 Y-Axis,Linear
,,,,
,,,,
Sensitivity,23.6,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Max Freq / Orders,2000,,,
,,,,
,,,,
,,,,
Detection,TruePkPk,,,
No. of Lines,800,,,
Window Type,Hanning,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Y-axis Units,gE,,,
X-axis Units,Hz,,,
,,,,
,,,,
Sensor Type,Accel (g),,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
RPM,NaN,,,
,,,,
Overall,3.6163032,,,
X-Axis,Y-Axis,,,
0,0.040364515,,,
2.5,0.144347772,,,
5,0.200281516,,,
7.5,0.180158213,,,
10,0.089682661,,,
12.5,0.059865694,,,
15,0.055035129,,,
17.5,0.108504795,,,
20,0.210068703,,,
22.5,0.127810806,,,
25,0.120540552,,,
27.5,0.14100948,,,
30,0.097286329,,,
32.5,0.098123953,,,
35,0.125468701,,,
37.5,0.074747749,,,
40,0.035432294,,,
42.5,0.037965495,,,
45,0.063016951,,,
47.5,0.111908153,,,
50,0.1071833,,,
52.5,0.266453773,,,
55,0.163141444,,,
57.5,0.072364993,,,
60,0.081664242,,,
62.5,0.116738714,,,
65,0.181365862,,,
67.5,0.083099589,,,
70,0.058271773,,,
72.5,0.064887375,,,
75,0.058353093,,,
77.5,0.14767386,,,
80,0.202090949,,,
82.5,0.075845607,,,
85,0.081656113,,,
87.5,0.050912067,,,
90,0.018317936,,,
92.5,0.059308637,,,
95,0.07195431,,,
97.5,0.107358143,,,
100,0.13822417,,,
102.5,0.075979784,,,
105,0.067908511,,,
107.5,0.091748253,,,
110,0.04889933,,,
112.5,0.064887375,,,
115,0.093203932,,,
117.5,0.05886136,,,
120,0.008945496,,,
122.5,0.11860507,,,
125,0.184155226,,,
127.5,0.143945217,,,
130,0.022928931,,,
132.5,0.099046968,,,
135,0.148076415,,,
137.5,0.133918136,,,
140,0.083416745,,,
142.5,0.062008549,,,
145,0.11183089,,,
147.5,0.088186324,,,
150,0.038246058,,,
152.5,0.055148982,,,
155,0.072019368,,,
157.5,0.118344843,,,
160,0.215472594,,,
162.5,0.188095316,,,
165,0.125330463,,,
