Date/Time,15 Oct 2024 23.52.49,,,
Application,CtC,,,
,,,,
Unit ID,QuickCollect - 2310610,,,
OVD,NO,,,
,,,,
,,,,
,,,CH1 Units,mm/s
,,,,
,,,,
,,,CH1 Y-Axis,Linear
,,,,
,,,,
Sensitivity,23.6,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Max Freq / Orders,1000,,,
,,,,
,,,,
,,,,
Detection,RMS,,,
No. of Lines,400,,,
Window Type,Hanning,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Y-axis Units,Velocity (mm/s),,,
X-axis Units,Hz,,,
,,,,
,,,,
Sensor Type,Accel (g),,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
RPM,NaN,,,
,,,,
Overall,3.9342611,,,
X-Axis,Y-Axis,,,
0,0.026130272,,,
2.5,0.019922528,,,
5,0.035405796,,,
7.5,0.039159317,,,
10,0.12798059,,,
12.5,0.46374014,,,
15,0.406210244,,,
17.5,0.380513072,,,
20,1.594415784,,,
22.5,1.422836661,,,
25,0.882943332,,,
27.5,1.697096229,,,
30,0.697577238,,,
32.5,0.402276278,,,
35,0.616948724,,,
37.5,0.306056231,,,
40,0.083407544,,,
42.5,0.051610898,,,
45,0.13750875,,,
47.5,0.277832657,,,
50,0.308799177,,,
52.5,0.291800082,,,
55,0.32027629,,,
57.5,0.123649605,,,
60,0.01642165,,,
62.5,0.045222696,,,
65,0.06832128,,,
67.5,0.054173395,,,
70,0.132636398,,,
72.5,0.161184803,,,
75,0.123180412,,,
77.5,1.162075281,,,
80,2.36504221,,,
82.5,1.267137766,,,
85,0.123541333,,,
87.5,0.108960345,,,
90,0.07066723,,,
92.5,0.089723557,,,
95,0.091419861,,,
97.5,0.022809852,,,
100,0.03782393,,,
102.5,0.073374093,,,
105,0.122386403,,,
107.5,0.169918954,,,
110,0.086403139,,,
112.5,0.381126612,,,
115,0.435300022,,,
117.5,0.162050992,,,
120,0.109249078,,,
122.5,0.182045713,,,
125,0.066083603,,,
127.5,0.123288691,,,
130,0.119462989,,,
132.5,0.107444502,,,
135,0.099684827,,,
137.5,0.055003501,,,
140,0.041433085,,,
142.5,0.035153158,,,
145,0.004367076,,,
147.5,0.003933977,,,
150,0.015663726,,,
152.5,0.005269364,,,
155,0.004836266,,,
157.5,0.071136415,,,
160,0.140793085,,,
162.5,0.076080956,,,
